OpID,Timestamp,Table,Student ID, Course ID, Column,Operation,NewValue
1,2025-04-29T21:58:38.929338+05:30,student_course_grades,SID1658,CSE005,grade,SET,F
2,2025-04-29T21:58:38.962142+05:30,student_course_grades,SID1658,CSE005,grade,GET,NA
3,2025-04-29T22:32:16.445898+05:30,student_course_grades,SID1658,CSE005,grade,SET,F
4,2025-04-29T22:32:16.47631+05:30,student_course_grades,SID1658,CSE005,grade,GET,NA
5,2025-04-29T22:36:19.521733+05:30,student_course_grades,SID1658,CSE005,grade,SET,F
6,2025-04-29T22:36:19.555747+05:30,student_course_grades,SID1658,CSE005,grade,GET,NA
7,2025-04-29T22:37:46.054571+05:30,student_course_grades,SID1658,CSE005,grade,SET,F
8,2025-04-29T22:37:46.092089+05:30,student_course_grades,SID1658,CSE005,grade,GET,NA
9,2025-04-29T23:34:02.0349861+05:30,student_course_grades,SID1891,CSE005,grade,SET,A
10,2025-04-29T23:34:02.1099841+05:30,student_course_grades,SID1658,CSE005,grade,SET,F
11,2025-04-29T23:34:02.1749828+05:30,student_course_grades,SID1128,CSE004,grade,SET,A
12,2025-04-30T00:04:16.0258346+05:30,student_course_grades,SID1891,CSE005,grade,SET,A
13,2025-04-30T00:04:16.1158299+05:30,student_course_grades,SID1658,CSE005,grade,SET,F
14,2025-04-30T00:04:16.2918568+05:30,student_course_grades,SID1128,CSE004,grade,SET,A
